contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,monotonic_clean,butterfly_clean,is_clean
COST250620C00255000,2025-04-04 19:11:51+00:00,255.0,665.6,736.65,743.85,0.0,0.0,1.0,5.0,1.8288582775878903,True,REGULAR,USD,740.25,True,True,True
COST250620C00265000,2024-12-16 05:01:17+00:00,265.0,410.0,438.0,447.0,0.0,0.0,,2.0,1.0000000000000003e-05,True,REGULAR,USD,442.5,True,True,False
COST250620C00270000,2023-11-15 15:35:04+00:00,270.0,346.28,399.0,407.75,0.0,0.0,4.0,68.0,1.0000000000000003e-05,True,REGULAR,USD,403.375,True,True,False
COST250620C00280000,2023-12-19 20:34:03+00:00,280.0,410.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,410.0,False,False,False
COST250620C00285000,2024-12-16 05:01:17+00:00,285.0,394.0,407.0,416.0,0.0,0.0,,2.0,1.0000000000000003e-05,True,REGULAR,USD,411.5,False,True,False
COST250620C00295000,2024-11-21 17:43:35+00:00,295.0,665.33,667.3,674.4,0.0,0.0,1.0,9.0,1.0000000000000003e-05,True,REGULAR,USD,670.8499999999999,False,False,False
COST250620C00300000,2023-12-19 14:35:25+00:00,300.0,394.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,394.0,True,True,False
COST250620C00305000,2025-04-07 16:20:07+00:00,305.0,597.48,684.0,692.7,0.0,0.0,1.0,13.0,1.4775416748046877,True,REGULAR,USD,688.35,False,False,False
COST250620C00310000,2023-09-13 16:52:55+00:00,310.0,274.16,278.0,287.0,0.0,0.0,6.0,6.0,1.0000000000000003e-05,True,REGULAR,USD,282.5,True,True,False
COST250620C00315000,2025-01-24 16:34:39+00:00,315.0,633.48,741.25,748.9,0.0,0.0,1.0,0.0,3.4334120610046384,True,REGULAR,USD,745.075,False,False,False
COST250620C00325000,2025-01-27 20:52:56+00:00,325.0,642.91,723.0,732.0,0.0,0.0,1.0,0.0,3.1835042385101318,True,REGULAR,USD,727.5,True,False,False
COST250620C00330000,2025-02-04 15:39:07+00:00,330.0,681.32,701.0,708.95,0.0,0.0,1.0,0.0,2.7485993199157717,True,REGULAR,USD,704.975,True,False,False
COST250620C00335000,2025-02-06 20:52:44+00:00,335.0,718.16,629.5,636.4,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,632.95,True,True,True
COST250620C00340000,2024-11-21 17:43:34+00:00,340.0,620.85,622.55,631.4,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,626.9749999999999,True,True,True
COST250620C00345000,2025-03-26 14:19:36+00:00,345.0,592.0,629.25,636.9,0.0,0.0,12.0,11.0,1.0000000000000003e-05,True,REGULAR,USD,633.075,False,False,False
COST250620C00350000,2024-12-16 05:01:18+00:00,350.0,436.0,508.1,516.95,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,512.5250000000001,True,True,False
COST250620C00355000,2025-04-10 17:06:50+00:00,355.0,604.1,633.8,642.25,0.0,0.0,1.0,1.0,1.2426795678710936,True,REGULAR,USD,638.025,False,False,False
COST250620C00360000,2024-12-16 05:01:18+00:00,360.0,370.0,407.0,415.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,411.0,True,True,False
COST250620C00365000,2025-02-06 15:00:21+00:00,365.0,693.85,599.95,607.8,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,603.875,False,False,False
COST250620C00375000,2024-12-16 05:01:18+00:00,375.0,291.9,352.0,362.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,357.0,True,True,False
COST250620C00385000,2025-04-07 17:46:04+00:00,385.0,526.25,607.45,615.2,0.0,0.0,1.0,1.0,0.975586181640625,True,REGULAR,USD,611.325,False,False,False
COST250620C00390000,2023-08-25 14:49:39+00:00,390.0,185.28,204.65,211.15,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,207.9,True,True,False
COST250620C00395000,2025-03-26 14:27:32+00:00,395.0,542.1,579.6,587.3,0.0,0.0,22.0,25.0,1.0000000000000003e-05,True,REGULAR,USD,583.45,False,False,False
COST250620C00400000,2025-02-25 15:46:32+00:00,400.0,654.0,529.0,537.1,0.0,0.0,3.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,533.05,True,True,True
COST250620C00405000,2024-12-16 05:01:18+00:00,405.0,197.85,,,0.0,0.0,,,0.0,True,REGULAR,USD,,False,True,False
COST250620C00410000,2023-12-20 16:47:38+00:00,410.0,283.44,273.15,282.0,0.0,0.0,22.0,26.0,1.0000000000000003e-05,True,REGULAR,USD,277.575,False,True,False
COST250620C00415000,2024-12-16 05:01:18+00:00,415.0,479.15,476.55,483.95,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,480.25,False,False,False
COST250620C00420000,2023-11-16 16:21:51+00:00,420.0,197.85,264.0,273.25,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,268.625,True,True,False
COST250620C00425000,2024-12-16 05:01:18+00:00,425.0,490.25,473.0,481.5,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,477.25,False,False,False
COST250620C00430000,2025-02-25 15:44:05+00:00,430.0,624.0,499.0,507.45,0.0,0.0,4.0,4.0,1.0000000000000003e-05,True,REGULAR,USD,503.225,False,True,False
COST250620C00435000,2024-12-16 05:01:18+00:00,435.0,154.11,,,0.0,0.0,,,0.0,True,REGULAR,USD,,False,True,False
COST250620C00445000,2025-04-07 17:46:02+00:00,445.0,465.0,548.4,555.75,0.0,0.0,4.0,2.0,0.9670413452148439,True,REGULAR,USD,552.075,False,True,False
COST250620C00450000,2023-10-24 19:20:23+00:00,450.0,154.11,177.05,183.7,0.0,0.0,6.0,7.0,1.0000000000000003e-05,True,REGULAR,USD,180.375,True,True,False
COST250620C00455000,2024-12-16 05:01:19+00:00,455.0,174.04,,,0.0,0.0,,,0.0,True,REGULAR,USD,,False,True,False
COST250620C00460000,2025-02-21 14:30:03+00:00,460.0,578.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,578.0,False,True,False
COST250620C00465000,2024-12-16 05:01:19+00:00,465.0,286.49,373.05,381.0,0.0,0.0,1.0,11.0,1.0000000000000003e-05,True,REGULAR,USD,377.025,True,True,False
COST250620C00470000,2025-01-28 14:31:22+00:00,470.0,495.0,580.0,589.0,0.0,0.0,1.0,1.0,2.2979168528747556,True,REGULAR,USD,584.5,False,False,False
COST250620C00475000,2024-12-16 05:01:19+00:00,475.0,237.5,280.05,287.5,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,283.775,True,True,False
COST250620C00480000,2024-12-16 05:01:19+00:00,480.0,344.14,423.65,431.0,0.0,0.0,4.0,4.0,1.0000000000000003e-05,True,REGULAR,USD,427.325,False,False,False
COST250620C00485000,2024-12-16 05:01:19+00:00,485.0,430.1,414.0,422.45,0.0,0.0,1.0,3.0,1.0000000000000003e-05,True,REGULAR,USD,418.225,True,False,False
