contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,monotonic_clean,butterfly_clean,is_clean,maturity_T
COST260320C00470000,2025-04-01 19:55:00+00:00,470.0,505.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,505.0,True,True,True,1.0
COST260320C00490000,2025-03-18 19:04:52+00:00,490.0,431.85,521.0,529.0,0.0,0.0,,1,0.5348557257080078,True,REGULAR,USD,431.85,True,True,True,1.0
COST260320C00500000,2025-05-07 17:07:12+00:00,500.0,529.35,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,529.35,False,False,False,1.0
COST260320C00520000,2025-03-10 16:05:56+00:00,520.0,444.34,463.0,471.95,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,444.34,True,True,True,1.0
COST260320C00540000,2025-01-31 17:18:40+00:00,540.0,472.6,519.1,528.0,0.0,0.0,2.0,2,0.781076713180542,True,REGULAR,USD,472.6,False,False,False,1.0
COST260320C00580000,2025-04-23 15:05:30+00:00,580.0,428.6,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,428.6,True,False,False,1.0
COST260320C00600000,2025-03-10 18:19:03+00:00,600.0,366.25,390.0,399.0,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,366.25,True,True,True,1.0
COST260320C00620000,2025-03-28 16:24:03+00:00,620.0,341.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,341.0,True,True,True,1.0
COST260320C00640000,2025-05-08 13:39:39+00:00,640.0,399.0,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,399.0,False,False,False,1.0
COST260320C00660000,2025-03-07 18:49:50+00:00,660.0,330.75,0.0,0.0,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,330.75,True,True,True,1.0
