contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,monotonic_clean,butterfly_clean,is_clean,maturity_T
COST250919C00440000,2025-04-16 16:05:02+00:00,440.0,542.06,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,542.06,True,True,True,0.5
COST250919C00450000,2024-12-19 20:35:37+00:00,450.0,523.92,519.35,527.35,0.0,0.0,7,8,1.0000000000000003e-05,True,REGULAR,USD,523.92,True,True,True,0.5
COST250919C00460000,2025-03-05 19:53:45+00:00,460.0,598.55,461.0,470.0,0.0,0.0,1,10,1.0000000000000003e-05,True,REGULAR,USD,598.55,False,False,False,0.5
COST250919C00470000,2024-12-16 05:03:37+00:00,470.0,464.4,531.0,540.0,0.0,0.0,2,5,0.632816171875,True,REGULAR,USD,464.4,True,True,False,0.5
COST250919C00480000,2024-12-16 05:03:37+00:00,480.0,452.8,521.0,529.35,0.0,0.0,2,1,0.5858195715332031,True,REGULAR,USD,452.8,True,True,True,0.5
COST250919C00490000,2024-12-13 19:26:53+00:00,490.0,520.0,481.0,488.75,0.0,0.0,2,1,1.0000000000000003e-05,True,REGULAR,USD,520.0,False,False,False,0.5
COST250919C00500000,2025-01-14 15:20:57+00:00,500.0,434.25,580.8,588.4,0.0,0.0,1,3,1.5003687091064453,True,REGULAR,USD,434.25,True,True,True,0.5
COST250919C00520000,2025-03-07 19:51:47+00:00,520.0,448.72,0.0,0.0,0.0,0.0,1,2,1.0000000000000003e-05,True,REGULAR,USD,448.72,False,True,False,0.5
COST250919C00540000,2025-02-06 19:22:56+00:00,540.0,520.79,433.7,440.85,0.0,0.0,1,3,1.0000000000000003e-05,True,REGULAR,USD,520.79,False,False,False,0.5
COST250919C00560000,2025-01-07 15:12:55+00:00,560.0,380.65,0.0,0.0,0.0,0.0,2,5,1.0000000000000003e-05,True,REGULAR,USD,380.65,True,True,True,0.5
COST250919C00580000,2025-05-01 14:15:57+00:00,580.0,426.03,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,426.03,False,False,False,0.5
COST250919C00600000,2025-04-14 18:46:05+00:00,600.0,396.81,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD,396.81,True,True,True,0.5
COST250919C00620000,2025-05-08 13:38:38+00:00,620.0,404.83,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,404.83,False,False,False,0.5
COST250919C00640000,2025-05-01 18:21:55+00:00,640.0,376.5,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD,376.5,True,True,True,0.5
COST250919C00660000,2025-02-05 14:55:48+00:00,660.0,381.16,319.3,324.7,0.0,0.0,1,65,1.0000000000000003e-05,True,REGULAR,USD,381.16,False,False,False,0.5
COST250919C00680000,2025-04-02 15:21:25+00:00,680.0,302.85,338.45,345.0,0.0,0.0,2,29,0.5294389097595216,True,REGULAR,USD,302.85,True,True,True,0.5
COST250919C00700000,2025-05-02 13:46:32+00:00,700.0,328.06,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,328.06,False,False,False,0.5
COST250919C00720000,2025-04-30 17:39:00+00:00,720.0,288.3,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,288.3,True,False,False,0.5
COST250919C00740000,2025-04-07 13:30:02+00:00,740.0,188.51,0.0,0.0,0.0,0.0,4,0,1.0000000000000003e-05,True,REGULAR,USD,188.51,True,True,True,0.5
COST250919C00760000,2025-05-01 16:54:34+00:00,760.0,259.38,0.0,0.0,0.0,0.0,5,0,1.0000000000000003e-05,True,REGULAR,USD,259.38,False,False,False,0.5
COST250919C00780000,2025-03-12 14:27:48+00:00,780.0,195.0,208.0,216.75,0.0,0.0,1,19,1.0000000000000003e-05,True,REGULAR,USD,195.0,True,True,True,0.5
COST250919C00800000,2025-05-01 19:14:23+00:00,800.0,223.53,0.0,0.0,0.0,0.0,4,0,1.0000000000000003e-05,True,REGULAR,USD,223.53,False,False,False,0.5
COST250919C00820000,2025-04-17 14:04:00+00:00,820.0,193.0,0.0,0.0,0.0,0.0,7,0,1.0000000000000003e-05,True,REGULAR,USD,193.0,True,True,True,0.5
COST250919C00830000,2025-04-15 19:42:15+00:00,830.0,182.0,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,182.0,True,True,True,0.5
COST250919C00840000,2025-05-01 18:32:11+00:00,840.0,190.35,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,190.35,False,False,False,0.5
COST250919C00850000,2025-04-21 18:40:48+00:00,850.0,141.82,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,141.82,True,True,True,0.5
COST250919C00860000,2025-04-25 17:59:06+00:00,860.0,145.0,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,145.0,False,False,False,0.5
COST250919C00870000,2025-04-16 15:59:06+00:00,870.0,146.4,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD,146.4,False,True,False,0.5
COST250919C00880000,2025-05-08 15:06:32+00:00,880.0,148.01,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD,148.01,False,True,False,0.5
COST250919C00890000,2025-05-02 18:44:53+00:00,890.0,155.56,0.0,0.0,0.0,0.0,8,0,1.0000000000000003e-05,True,REGULAR,USD,155.56,False,False,False,0.5
COST250919C00900000,2025-05-08 17:00:45+00:00,900.0,142.5,0.0,0.0,0.0,0.0,6,0,1.0000000000000003e-05,True,REGULAR,USD,142.5,True,True,True,0.5
COST250919C00910000,2025-05-02 14:20:39+00:00,910.0,142.65,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,142.65,True,False,False,0.5
COST250919C00920000,2025-05-07 15:55:25+00:00,920.0,129.0,0.0,0.0,0.0,0.0,6,0,1.0000000000000003e-05,True,REGULAR,USD,129.0,True,True,True,0.5
COST250919C00930000,2025-05-06 17:03:49+00:00,930.0,125.15,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD,125.15,True,False,False,0.5
COST250919C00940000,2025-05-02 14:11:07+00:00,940.0,120.15,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,120.15,True,False,False,0.5
COST250919C00950000,2025-05-08 15:20:12+00:00,950.0,100.81,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,100.81,True,True,True,0.5
COST250919C00960000,2025-05-01 19:12:16+00:00,960.0,97.99,0.0,0.0,0.0,0.0,259,0,1.0000000000000003e-05,True,REGULAR,USD,97.99,True,True,True,0.5
COST250919C00970000,2025-05-05 19:58:18+00:00,970.0,99.82,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,99.82,False,False,False,0.5
COST250919C00980000,2025-05-07 13:50:02+00:00,980.0,89.0,0.0,0.0,0.0,0.0,13,0,1.0000000000000003e-05,True,REGULAR,USD,89.0,True,True,True,0.5
