,strike,mid,option_type,maturity_T,r
53,910.0,100.02,call,0.25,0.0422
54,925.0,98.35,call,0.25,0.0422
55,935.0,95.15,call,0.25,0.0422
56,940.0,88.33,call,0.25,0.0422
57,945.0,81.9,call,0.25,0.0422
58,965.0,66.43,call,0.25,0.0422
59,975.0,58.92,call,0.25,0.0422
60,985.0,44.27,call,0.25,0.0422
61,995.0,45.13,call,0.25,0.0422
62,1010.0,38.0,call,0.25,0.0422
63,1015.0,34.95,call,0.25,0.0422
64,1025.0,30.2,call,0.25,0.0422
65,1035.0,25.2,call,0.25,0.0422
66,1060.0,12.52,call,0.25,0.0422
67,1070.0,13.75,call,0.25,0.0422
68,1100.0,7.5,call,0.25,0.0422
69,1120.0,4.63,call,0.25,0.0422
70,1140.0,2.5,call,0.25,0.0422
71,1160.0,1.56,call,0.25,0.0422
72,1180.0,1.05,call,0.25,0.0422
73,1260.0,0.32,call,0.25,0.0422
74,1280.0,0.28,call,0.25,0.0422
75,1500.0,0.01,call,0.25,0.0422
90,920.0,129.0,call,0.5,0.0428
91,950.0,100.81,call,0.5,0.0428
92,960.0,97.99,call,0.5,0.0428
93,980.0,89.0,call,0.5,0.0428
94,1000.0,71.8,call,0.5,0.0428
95,1040.0,52.18,call,0.5,0.0428
96,1080.0,36.0,call,0.5,0.0428
97,1120.0,23.2,call,0.5,0.0428
98,1140.0,18.6,call,0.5,0.0428
99,1180.0,10.6,call,0.5,0.0428
100,1200.0,9.14,call,0.5,0.0428
113,910.0,166.2,call,1.0,0.0405
114,930.0,163.0,call,1.0,0.0405
115,950.0,140.0,call,1.0,0.0405
116,960.0,132.35,call,1.0,0.0405
117,980.0,130.0,call,1.0,0.0405
118,990.0,125.55,call,1.0,0.0405
119,1060.0,87.0,call,1.0,0.0405
120,1080.0,81.1,call,1.0,0.0405
121,1120.0,58.12,call,1.0,0.0405
122,1140.0,51.15,call,1.0,0.0405
123,1180.0,45.4,call,1.0,0.0405
124,1300.0,18.8,call,1.0,0.0405
125,1420.0,7.22,call,1.0,0.0405
126,255.0,0.02,put,0.25,0.0422
127,265.0,0.15,put,0.25,0.0422
128,335.0,0.22,put,0.25,0.0422
129,340.0,0.22,put,0.25,0.0422
130,345.0,0.26,put,0.25,0.0422
131,365.0,0.08,put,0.25,0.0422
132,375.0,0.15,put,0.25,0.0422
133,385.0,0.02,put,0.25,0.0422
134,400.0,0.13,put,0.25,0.0422
135,415.0,0.03,put,0.25,0.0422
136,430.0,0.05,put,0.25,0.0422
137,460.0,0.12,put,0.25,0.0422
138,465.0,0.13,put,0.25,0.0422
139,470.0,0.25,put,0.25,0.0422
140,505.0,0.52,put,0.25,0.0422
141,520.0,0.03,put,0.25,0.0422
142,525.0,1.01,put,0.25,0.0422
143,540.0,0.22,put,0.25,0.0422
144,545.0,0.37,put,0.25,0.0422
145,560.0,0.24,put,0.25,0.0422
146,565.0,0.34,put,0.25,0.0422
147,580.0,1.1,put,0.25,0.0422
148,585.0,3.35,put,0.25,0.0422
