contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,monotonic_clean,butterfly_clean,is_clean,maturity_T
COST260320P00440000,2025-05-08 18:21:41+00:00,440.0,1.25,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD,1.25,True,True,False,1.0
COST260320P00450000,2025-05-06 19:38:37+00:00,450.0,1.25,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD,1.25,True,False,False,1.0
COST260320P00460000,2025-05-07 16:55:16+00:00,460.0,1.01,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,1.01,True,True,False,1.0
COST260320P00470000,2025-05-08 17:50:15+00:00,470.0,1.14,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,1.14,True,True,True,1.0
COST260320P00480000,2025-04-03 16:05:59+00:00,480.0,1.98,0.16,4.45,0.0,0.0,1.0,2,0.45111632873535157,False,REGULAR,USD,1.98,True,False,False,1.0
COST260320P00490000,2025-03-18 19:21:27+00:00,490.0,2.6,0.92,7.1,0.0,0.0,,12,0.4826101544189454,False,REGULAR,USD,2.6,True,False,False,1.0
COST260320P00500000,2025-05-02 16:30:48+00:00,500.0,1.88,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD,1.88,False,True,False,1.0
COST260320P00520000,2025-05-02 19:09:54+00:00,520.0,2.87,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,2.87,True,True,True,1.0
COST260320P00540000,2025-04-17 19:11:19+00:00,540.0,5.27,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,5.27,True,False,False,1.0
COST260320P00560000,2025-05-02 19:09:54+00:00,560.0,4.04,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,4.04,False,True,False,1.0
COST260320P00580000,2025-04-14 15:01:09+00:00,580.0,6.49,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD,6.49,True,False,False,1.0
COST260320P00600000,2025-05-05 19:10:48+00:00,600.0,5.35,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,5.35,False,True,False,1.0
COST260320P00620000,2025-04-22 16:29:23+00:00,620.0,9.55,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,9.55,True,False,False,1.0
COST260320P00640000,2025-04-29 15:49:49+00:00,640.0,9.0,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD,9.0,False,True,False,1.0
COST260320P00660000,2025-05-02 16:30:36+00:00,660.0,8.95,0.0,0.0,0.0,0.0,2.0,0,0.062509375,False,REGULAR,USD,8.95,True,True,True,1.0
COST260320P00680000,2025-05-08 16:18:43+00:00,680.0,9.85,0.0,0.0,0.0,0.0,12.0,0,0.062509375,False,REGULAR,USD,9.85,True,True,True,1.0
COST260320P00700000,2025-05-07 19:26:40+00:00,700.0,12.45,0.0,0.0,0.0,0.0,2.0,0,0.062509375,False,REGULAR,USD,12.45,True,False,False,1.0
COST260320P00720000,2025-05-05 16:38:06+00:00,720.0,12.83,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD,12.83,True,True,True,1.0
COST260320P00740000,2025-05-07 15:57:18+00:00,740.0,16.95,0.0,0.0,0.0,0.0,3.0,0,0.062509375,False,REGULAR,USD,16.95,True,False,False,1.0
COST260320P00760000,2025-05-08 13:58:35+00:00,760.0,18.04,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD,18.04,True,True,True,1.0
COST260320P00780000,2025-05-05 18:25:00+00:00,780.0,19.9,0.0,0.0,0.0,0.0,6.0,0,0.062509375,False,REGULAR,USD,19.9,True,True,True,1.0
COST260320P00800000,2025-05-08 13:30:18+00:00,800.0,23.0,0.0,0.0,0.0,0.0,7.0,0,0.062509375,False,REGULAR,USD,23.0,True,True,True,1.0
COST260320P00820000,2025-05-07 14:51:39+00:00,820.0,28.9,0.0,0.0,0.0,0.0,2.0,0,0.0312596875,False,REGULAR,USD,28.9,True,False,False,1.0
COST260320P00830000,2025-05-02 18:41:51+00:00,830.0,28.63,0.0,0.0,0.0,0.0,1.0,0,0.0312596875,False,REGULAR,USD,28.63,True,True,True,1.0
COST260320P00840000,2025-05-07 19:23:58+00:00,840.0,31.7,0.0,0.0,0.0,0.0,2.0,0,0.0312596875,False,REGULAR,USD,31.7,True,False,False,1.0
COST260320P00850000,2025-05-08 19:25:37+00:00,850.0,32.3,0.0,0.0,0.0,0.0,1.0,0,0.0312596875,False,REGULAR,USD,32.3,True,True,True,1.0
COST260320P00860000,2025-05-07 19:54:40+00:00,860.0,36.6,0.0,0.0,0.0,0.0,1.0,0,0.0312596875,False,REGULAR,USD,36.6,True,False,False,1.0
COST260320P00870000,2025-05-06 13:41:12+00:00,870.0,38.2,0.0,0.0,0.0,0.0,6.0,0,0.0312596875,False,REGULAR,USD,38.2,True,False,False,1.0
COST260320P00880000,2025-05-02 14:13:24+00:00,880.0,38.75,0.0,0.0,0.0,0.0,1.0,0,0.0312596875,False,REGULAR,USD,38.75,True,True,True,1.0
COST260320P00890000,2025-04-30 19:26:08+00:00,890.0,49.55,0.0,0.0,0.0,0.0,4.0,0,0.0312596875,False,REGULAR,USD,49.55,True,False,False,1.0
COST260320P00900000,2025-05-08 19:38:24+00:00,900.0,44.25,0.0,0.0,0.0,0.0,8.0,0,0.0312596875,False,REGULAR,USD,44.25,False,True,False,1.0
COST260320P00910000,2025-05-02 16:23:50+00:00,910.0,48.6,0.0,0.0,0.0,0.0,3.0,0,0.015634843750000002,False,REGULAR,USD,48.6,True,True,True,1.0
COST260320P00920000,2025-05-08 14:12:20+00:00,920.0,55.9,0.0,0.0,0.0,0.0,1.0,0,0.015634843750000002,False,REGULAR,USD,55.9,True,False,False,1.0
COST260320P00930000,2025-05-07 17:05:55+00:00,930.0,54.35,0.0,0.0,0.0,0.0,2.0,0,0.015634843750000002,False,REGULAR,USD,54.35,False,True,False,1.0
COST260320P00940000,2025-05-05 13:50:02+00:00,940.0,59.25,0.0,0.0,0.0,0.0,4.0,0,0.015634843750000002,False,REGULAR,USD,59.25,True,False,False,1.0
COST260320P00950000,2025-05-07 16:26:55+00:00,950.0,61.51,0.0,0.0,0.0,0.0,3.0,0,0.015634843750000002,False,REGULAR,USD,61.51,True,True,True,1.0
COST260320P00960000,2025-05-07 16:53:31+00:00,960.0,64.23,0.0,0.0,0.0,0.0,2.0,0,0.007822421875,False,REGULAR,USD,64.23,True,True,True,1.0
COST260320P00970000,2025-05-07 15:51:20+00:00,970.0,71.15,0.0,0.0,0.0,0.0,2.0,0,0.007822421875,False,REGULAR,USD,71.15,True,False,False,1.0
COST260320P00980000,2025-05-07 16:53:31+00:00,980.0,72.01,0.0,0.0,0.0,0.0,1.0,0,0.007822421875,False,REGULAR,USD,72.01,True,True,True,1.0
COST260320P00990000,2025-05-06 15:08:12+00:00,990.0,76.02,0.0,0.0,0.0,0.0,60.0,0,0.0039162109375,False,REGULAR,USD,76.02,True,True,True,1.0
COST260320P01000000,2025-05-07 15:29:47+00:00,1000.0,81.95,0.0,0.0,0.0,0.0,4.0,0,0.00196310546875,False,REGULAR,USD,81.95,True,False,False,1.0
COST260320P01020000,2025-05-05 18:55:37+00:00,1020.0,85.45,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,85.45,True,True,True,1.0
COST260320P01040000,2025-05-05 18:32:45+00:00,1040.0,95.2,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,95.2,True,True,True,1.0
COST260320P01060000,2025-05-01 19:39:08+00:00,1060.0,114.8,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,114.8,True,False,False,1.0
COST260320P01080000,2025-05-05 18:33:09+00:00,1080.0,115.8,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,115.8,True,True,True,1.0
COST260320P01100000,2025-05-05 18:56:03+00:00,1100.0,126.45,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,126.45,True,True,True,1.0
COST260320P01120000,2025-04-08 19:15:20+00:00,1120.0,224.5,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,224.5,True,False,False,1.0
COST260320P01140000,2025-04-28 14:57:04+00:00,1140.0,177.3,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,177.3,False,True,False,1.0
COST260320P01180000,2025-04-09 13:30:24+00:00,1180.0,286.5,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,286.5,True,False,False,1.0
COST260320P01240000,2025-04-14 19:47:34+00:00,1240.0,257.83,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,257.83,False,True,False,1.0
COST260320P01300000,2025-04-17 15:22:36+00:00,1300.0,314.29,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,314.29,True,True,True,1.0
COST260320P01420000,2025-04-17 15:22:36+00:00,1420.0,434.17,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,434.17,True,True,True,1.0
