contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,monotonic_clean,butterfly_clean,is_clean,maturity_T
COST250620P00255000,2025-05-05 19:22:51+00:00,255.0,0.02,0.0,0.0,0.0,0.0,36.0,0,0.500005,False,REGULAR,USD,0.02,True,True,True,0.25
COST250620P00265000,2025-03-06 18:14:30+00:00,265.0,0.15,0.0,2.67,0.0,0.0,20.0,33,1.7443860437011716,False,REGULAR,USD,0.15,True,True,True,0.25
COST250620P00270000,2023-12-22 18:34:30+00:00,270.0,1.39,0.0,0.0,0.0,0.0,5.0,169,0.500005,False,REGULAR,USD,1.39,True,False,False,0.25
COST250620P00275000,2025-03-06 18:13:57+00:00,275.0,0.04,0.0,2.87,0.0,0.0,1.0,28,1.71484517578125,False,REGULAR,USD,0.04,False,True,False,0.25
COST250620P00280000,2023-12-21 14:30:54+00:00,280.0,4.0,0.0,0.0,0.0,0.0,1.0,9,0.500005,False,REGULAR,USD,4.0,True,False,False,0.25
COST250620P00285000,2025-04-21 13:30:02+00:00,285.0,0.04,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD,0.04,False,True,False,0.25
COST250620P00290000,2023-12-15 14:32:05+00:00,290.0,4.0,0.0,0.0,0.0,0.0,1.0,4,0.500005,False,REGULAR,USD,4.0,True,False,False,0.25
COST250620P00295000,2024-12-17 17:32:34+00:00,295.0,0.11,0.0,0.4,0.0,0.0,1.0,152,1.29297228515625,False,REGULAR,USD,0.11,False,True,False,0.25
COST250620P00300000,2023-12-22 17:43:21+00:00,300.0,1.9,0.0,0.0,0.0,0.0,1.0,20,0.500005,False,REGULAR,USD,1.9,True,False,False,0.25
COST250620P00305000,2025-04-07 13:31:59+00:00,305.0,0.55,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD,0.55,False,True,False,0.25
COST250620P00310000,2023-12-22 16:15:36+00:00,310.0,2.19,0.0,0.0,0.0,0.0,21.0,144,0.500005,False,REGULAR,USD,2.19,True,False,False,0.25
COST250620P00315000,2024-12-16 05:01:37+00:00,315.0,0.21,0.0,2.65,0.0,0.0,2.0,12,1.5261254162597653,False,REGULAR,USD,0.21,False,True,False,0.25
COST250620P00320000,2023-12-11 17:44:46+00:00,320.0,2.31,0.0,0.0,0.0,0.0,2.0,15,0.500005,False,REGULAR,USD,2.31,True,False,False,0.25
COST250620P00325000,2024-12-16 05:01:37+00:00,325.0,0.23,0.0,4.35,0.0,0.0,2.0,35,1.597414122314453,False,REGULAR,USD,0.23,False,True,False,0.25
COST250620P00330000,2024-12-16 05:01:37+00:00,330.0,0.23,0.0,4.45,0.0,0.0,2.0,4,1.5825216186523434,False,REGULAR,USD,0.23,True,False,False,0.25
COST250620P00335000,2025-01-28 15:56:28+00:00,335.0,0.22,0.0,1.85,0.0,0.0,3.0,29,1.3818390283203121,False,REGULAR,USD,0.22,True,True,True,0.25
COST250620P00340000,2025-03-11 13:57:45+00:00,340.0,0.22,0.0,2.0,0.0,0.0,3.0,6,1.378176937255859,False,REGULAR,USD,0.22,True,True,True,0.25
COST250620P00345000,2024-12-16 05:01:37+00:00,345.0,0.26,0.01,4.5,0.0,0.0,2.0,60,1.5263695556640622,False,REGULAR,USD,0.26,True,True,True,0.25
COST250620P00350000,2025-04-07 17:10:03+00:00,350.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,1.0,True,False,False,0.25
COST250620P00355000,2024-12-16 05:01:38+00:00,355.0,0.32,0.0,4.5,0.0,0.0,2.0,42,1.487795529785156,False,REGULAR,USD,0.32,False,True,False,0.25
COST250620P00360000,2024-12-16 05:01:38+00:00,360.0,0.24,0.0,2.7,0.0,0.0,2.0,7,1.3635285729980469,False,REGULAR,USD,0.24,True,False,False,0.25
COST250620P00365000,2025-04-22 19:55:04+00:00,365.0,0.08,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD,0.08,True,True,True,0.25
COST250620P00370000,2024-12-16 05:01:38+00:00,370.0,0.4,0.0,4.55,0.0,0.0,1.0,1,1.4350614184570314,False,REGULAR,USD,0.4,True,False,False,0.25
COST250620P00375000,2025-04-17 17:38:08+00:00,375.0,0.15,0.0,0.0,0.0,0.0,15.0,0,0.500005,False,REGULAR,USD,0.15,True,True,True,0.25
COST250620P00380000,2024-12-16 05:01:38+00:00,380.0,0.4,0.01,2.8,0.0,0.0,2.0,4,1.303714418945312,False,REGULAR,USD,0.4,True,False,False,0.25
COST250620P00385000,2025-03-05 17:26:41+00:00,385.0,0.02,0.0,3.05,0.0,0.0,1.0,38,1.302249582519531,False,REGULAR,USD,0.02,True,True,True,0.25
COST250620P00390000,2025-04-07 16:47:32+00:00,390.0,2.0,0.0,0.0,0.0,0.0,120.0,0,0.500005,False,REGULAR,USD,2.0,True,False,False,0.25
COST250620P00395000,2024-12-20 14:49:00+00:00,395.0,0.28,0.0,0.36,0.0,0.0,9.0,8,0.9863282617187501,False,REGULAR,USD,0.28,False,True,False,0.25
COST250620P00400000,2025-04-15 16:25:22+00:00,400.0,0.13,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD,0.13,True,True,True,0.25
COST250620P00405000,2025-04-07 19:28:54+00:00,405.0,0.01,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD,0.01,True,True,False,0.25
COST250620P00410000,2024-11-18 15:28:12+00:00,410.0,0.44,0.0,0.65,0.0,0.0,2.0,4,1.0087940185546875,False,REGULAR,USD,0.44,True,False,False,0.25
COST250620P00415000,2025-04-14 16:20:43+00:00,415.0,0.03,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,0.03,True,True,True,0.25
COST250620P00420000,2024-11-20 14:56:56+00:00,420.0,0.35,0.0,0.52,0.0,0.0,2.0,5,0.9604496142578124,False,REGULAR,USD,0.35,True,False,False,0.25
COST250620P00425000,2024-11-20 15:01:15+00:00,425.0,0.37,0.0,0.55,0.0,0.0,2.0,8,0.9536137451171874,False,REGULAR,USD,0.37,True,False,False,0.25
COST250620P00430000,2025-05-02 16:28:06+00:00,430.0,0.05,0.0,0.0,0.0,0.0,100.0,0,0.500005,False,REGULAR,USD,0.05,True,True,True,0.25
COST250620P00435000,2025-03-11 17:31:26+00:00,435.0,0.07,0.0,2.79,0.0,0.0,3.0,38,1.1340375329589847,False,REGULAR,USD,0.07,True,True,False,0.25
COST250620P00440000,2024-12-16 05:01:38+00:00,440.0,0.8,0.0,2.84,0.0,0.0,2.0,2,1.1225629809570314,False,REGULAR,USD,0.8,True,False,False,0.25
COST250620P00445000,2025-04-14 16:24:55+00:00,445.0,0.01,0.0,0.0,0.0,0.0,6.0,0,0.500005,False,REGULAR,USD,0.01,False,True,False,0.25
COST250620P00450000,2025-05-08 14:37:12+00:00,450.0,0.1,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,0.1,True,False,False,0.25
COST250620P00455000,2025-04-23 13:55:55+00:00,455.0,0.13,0.0,0.0,0.0,0.0,19.0,0,0.500005,False,REGULAR,USD,0.13,True,False,False,0.25
COST250620P00460000,2025-04-23 13:56:47+00:00,460.0,0.12,0.0,0.0,0.0,0.0,39.0,0,0.500005,False,REGULAR,USD,0.12,True,True,True,0.25
COST250620P00465000,2025-04-23 13:56:47+00:00,465.0,0.13,0.0,0.0,0.0,0.0,39.0,0,0.500005,False,REGULAR,USD,0.13,True,True,True,0.25
COST250620P00470000,2025-03-13 15:33:06+00:00,470.0,0.25,0.0,2.0,0.0,0.0,1.0,4,0.9907227490234375,False,REGULAR,USD,0.25,True,True,True,0.25
COST250620P00475000,2024-12-16 05:01:39+00:00,475.0,2.72,0.0,8.0,0.0,0.0,3.0,28,1.2141762924194333,False,REGULAR,USD,2.72,True,False,False,0.25
COST250620P00480000,2025-04-07 15:37:02+00:00,480.0,1.25,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,1.25,False,True,False,0.25
COST250620P00485000,2025-02-25 15:34:09+00:00,485.0,0.08,0.0,3.05,0.0,0.0,1.0,104,1.0116016217041015,False,REGULAR,USD,0.08,False,True,False,0.25
COST250620P00490000,2025-04-07 16:33:08+00:00,490.0,1.5,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD,1.5,True,False,False,0.25
COST250620P00495000,2025-04-09 13:48:02+00:00,495.0,1.25,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,1.25,True,False,False,0.25
COST250620P00500000,2025-04-22 14:27:43+00:00,500.0,0.33,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,0.33,False,True,False,0.25
COST250620P00505000,2025-04-30 15:33:50+00:00,505.0,0.52,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,0.52,True,True,True,0.25
COST250620P00510000,2023-12-22 15:50:00+00:00,510.0,14.6,0.0,0.0,0.0,0.0,4.0,50,0.2500075,False,REGULAR,USD,14.6,True,False,False,0.25
COST250620P00515000,2025-01-23 14:30:36+00:00,515.0,0.2,0.03,0.99,0.0,0.0,1.0,81,0.8085956640624999,False,REGULAR,USD,0.2,False,True,False,0.25
COST250620P00520000,2025-05-05 15:23:30+00:00,520.0,0.03,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,0.03,True,True,True,0.25
COST250620P00525000,2025-04-08 13:31:33+00:00,525.0,1.01,0.0,0.0,0.0,0.0,2.0,165,0.2500075,False,REGULAR,USD,1.01,True,True,True,0.25
COST250620P00530000,2023-12-26 15:53:02+00:00,530.0,16.8,0.0,0.0,0.0,0.0,5.0,85,0.2500075,False,REGULAR,USD,16.8,True,False,False,0.25
COST250620P00535000,2025-05-07 15:32:33+00:00,535.0,0.13,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,0.13,False,True,False,0.25
COST250620P00540000,2025-05-07 15:32:33+00:00,540.0,0.22,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,0.22,True,True,True,0.25
COST250620P00545000,2025-05-01 16:56:03+00:00,545.0,0.37,0.0,0.0,0.0,0.0,5.0,0,0.2500075,False,REGULAR,USD,0.37,True,True,True,0.25
COST250620P00550000,2025-04-24 13:30:12+00:00,550.0,1.19,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,1.19,True,False,False,0.25
COST250620P00555000,2025-05-01 16:56:04+00:00,555.0,0.4,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,0.4,False,True,False,0.25
COST250620P00560000,2025-05-07 15:33:27+00:00,560.0,0.24,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,0.24,True,True,True,0.25
COST250620P00565000,2025-05-07 15:33:27+00:00,565.0,0.34,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,0.34,True,True,True,0.25
