contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,monotonic_clean,butterfly_clean,is_clean,maturity_T
COST250919P00440000,2025-04-30 14:08:13+00:00,440.0,0.38,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,0.38,True,True,True,0.5
COST250919P00450000,2025-04-29 19:55:05+00:00,450.0,0.87,0.0,0.0,0.0,0.0,40.0,0,0.2500075,False,REGULAR,USD,0.87,True,False,False,0.5
COST250919P00460000,2025-04-22 13:30:17+00:00,460.0,0.9,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,0.9,True,False,False,0.5
COST250919P00480000,2025-03-24 13:30:03+00:00,480.0,0.69,0.0,2.49,0.0,0.0,10.0,13,0.5637250659179689,False,REGULAR,USD,0.69,True,True,True,0.5
COST250919P00500000,2025-05-08 14:40:55+00:00,500.0,0.49,0.0,0.0,0.0,0.0,10.0,0,0.2500075,False,REGULAR,USD,0.49,True,True,True,0.5
COST250919P00520000,2025-04-16 17:42:34+00:00,520.0,1.34,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,1.34,True,False,False,0.5
COST250919P00540000,2025-04-24 17:17:26+00:00,540.0,1.16,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,1.16,True,True,True,0.5
COST250919P00560000,2025-04-29 13:39:08+00:00,560.0,1.26,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,1.26,True,False,False,0.5
COST250919P00580000,2025-05-05 16:57:29+00:00,580.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,1.0,True,True,True,0.5
COST250919P00600000,2025-05-08 17:51:00+00:00,600.0,1.22,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,1.22,True,True,True,0.5
